Province,"Incidence Rate (per 100,000)"
Sulawesi Selatan,105.95
Kalimantan Barat,62.57
Bali,52.61
Aceh,49.93
Sumatera Barat,46.42
Jawa Timur,43.65
Kalimantan Selatan,43.14
Jambi,39.95
Papua,37.77
Sumatera Utara,37.35
Kepulauan Riau,35.08
Nusa Tenggara Barat,33.74
Jawa Barat,32.29
Kepulauan Bangka Belitung,31.95
Sulawesi Tenggara,30.81
Riau,28.96
Sulawesi Tengah,28.95
Kalimantan Timur,28.12
Kalimantan Tengah,23.61
DI Yogyakarta,21.6
Jawa Tengah,20.85
Sulawesi Utara,19.96
Banten,19.95
Lampung,18.38
Maluku Utara,17.81
Bengkulu,17.53
Sumatera Selatan,14.94
Nusa Tenggara Timur,13.2
DKI Jakarta,10.93
Papua Barat,8.24
Kalimantan Utara,8.04
Sulawesi Barat,5.22
Gorontalo,3.97
Maluku,3.06
Indonesia (national average),26.1
