Province,"Incidence Rate (per 100,000)"
Bali,515.9
Kalimantan Timur,305.95
DKI Jakarta,198.71
DI Yogyakarta,167.89
Kalimantan Utara,158.53
Sulawesi Tenggara,123.34
Kalimantan Selatan,101.06
Kepulauan Riau,97.77
Bengkulu,91.66
Sulawesi Selatan,89.29
Sulawesi Tengah,79.2
Jawa Barat,77.31
Sumatera Barat,75.75
Sulawesi Barat,66.82
Kalimantan Tengah,65.05
Gorontalo,64.83
Riau,64.14
Jawa Timur,62.65
Sumatera Utara,61.11
Lampung,55.04
Nusa Tenggara Barat,52.8
Aceh,52.02
Banten,50.31
Sumatera Selatan,47.19
Jambi,44.9
Jawa Tengah,42.26
Papua,35.23
Kepulauan Bangka Belitung,34.95
Maluku Utara,25.04
Maluku,21.16
Nusa Tenggara Timur,19.51
Kalimantan Barat,12.09
Papua Barat,11.75
Indonesia (national average),78.85
