Province,"Incidence Rate (per 100,000)"
Papua Barat,186.42
Kalimantan Tengah,173.09
Kalimantan Barat,170.62
Bali,155.32
Kalimantan Timur,147.33
Kalimantan Utara,131.84
Sulawesi Utara,103.04
Kepulauan Bangka Belitung,87.3
Sulawesi Barat,83.17
Kalimantan Selatan,69.49
Papua Tengah,66.53
Nusa Tenggara Barat,63.55
Maluku Utara,61.53
Sulawesi Tengah,56.4
Gorontalo,56.23
Sulawesi Tenggara,55.76
Nusa Tenggara Timur,46.25
Bengkulu,44.96
Aceh,38.86
Jambi,38.05
Jawa Barat,37.77
DKI Jakarta,36.27
Sumatera Barat,33.61
Sumatera Selatan,33.51
Banten,30.94
Sumatera Utara,30.0
Sulawesi Selatan,29.72
Riau,29.51
Kepulauan Riau,28.95
Papua,25.04
Lampung,24.91
Jawa Timur,23.19
Jawa Tengah,18.89
DI Yogyakarta,17.18
Maluku,14.23
Papua Barat Daya,0.0
Papua Pegunungan,0.0
Papua Selatan,0.0
Indonesia (national average),41.36
