Province,"Incidence Rate (per 100,000)"
Kepulauan Riau,80.9
Kalimantan Timur,78.1
Bali,59.8
Kepulauan Bangka Belitung,58.1
Nusa Tenggara Barat,50.9
Jawa Barat,47.8
Sulawesi Utara,47.3
Gorontalo,46.6
Nusa Tenggara Timur,45.4
Sulawesi Selatan,40.0
Bengkulu,31.1
DI Yogyakarta,29.9
DKI Jakarta,29.0
Lampung,26.4
Maluku Utara,25.1
Sulawesi Tenggara,24.6
Sulawesi Barat,24.3
Kalimantan Utara,23.8
Sulawesi Tengah,21.5
Sumatera Utara,19.5
Jawa Timur,16.8
Banten,16.3
Riau,14.7
Papua Barat,14.6
Sumatera Selatan,13.0
Kalimantan Barat,12.9
Jawa Tengah,12.8
Sumatera Barat,11.7
Jambi,9.8
Maluku,9.4
Kalimantan Tengah,6.9
Aceh,6.7
Kalimantan Selatan,4.1
Papua,2.9
Indonesia (national average),27.0
