Province,"Incidence Rate (per 100,000)"
Maluku,4.63
Papua Barat,7.57
Nusa Tenggara Timur,9.88
Maluku Utara,10.24
Gorontalo,20.38
Papua,20.54
Kalimantan Barat,23.28
Banten,25.19
Nusa Tenggara Barat,25.89
Aceh,30.17
Sulawesi Utara,30.26
Sumatera Utara,37.84
Sulawesi Barat,37.9
Lampung,38.74
Jambi,39.8
Sumatera Selatan,42.17
Kepulauan Bangka Belitung,45.38
Jawa Barat,45.47
Sulawesi Selatan,46.64
Jawa Tengah,48.55
DKI Jakarta,48.67
Riau,51.4
Jawa Timur,51.84
Bengkulu,53.49
Sulawesi Tengah,54.61
Sulawesi Tenggara,60.01
Kalimantan Tengah,60.2
Sumatera Barat,73.24
Kepulauan Riau,90.98
Kalimantan Selatan,91.93
DI Yogyakarta,92.96
Kalimantan Utara,112
Kalimantan Timur,188.46
Bali,257.75
Indonesia (national average),50.75
