Province,"Incidence Rate (per 100,000)"
Maluku,21.41
Papua Pegunungan,23.04
Riau,43.26
Kalimantan Barat,47.43
Sumatera Barat,48.65
Papua Barat Daya,48.72
Jawa Tengah,49.79
Papua,54.16
Sumatera Utara,60.8
Aceh,60.85
Jambi,61.92
Kepulauan Riau,64.95
Sulawesi Selatan,66.04
Papua Barat,66.07
Nusa Tenggara Timur,68.65
Sumatera Selatan,69.59
Kalimantan Selatan,72.3
Sulawesi Tengah,76.41
Nusa Tenggara Barat,76.53
Jawa Timur,78.83
Maluku Utara,82.61
Kalimantan Utara,84.71
Papua Tengah,95.91
DI Yogyakarta,97.59
Banten,100.93
Lampung,102.76
Jawa Barat,118.8
DKI Jakarta,122.53
Kepulauan Bangka Belitung,124.09
Kalimantan Tengah,142
Bengkulu,149.17
Sulawesi Tenggara,170.04
Sulawesi Barat,171.67
Sulawesi Utara,186.98
Gorontalo,189.52
Kalimantan Timur,284.06
Bali,336.83
Indonesia (national average),91.93
