Province,"Incidence Rate (per 100,000)"
Kalimantan Timur,87.81
Kalimantan Tengah,84.39
Bengkulu,72.28
Gorontalo,68.58
Sulawesi Utara,64.72
Kalimantan Barat,61.92
Kepulauan Riau,56.35
Kepulauan Bangka Belitung,52.06
Kalimantan Selatan,47.84
Sumatera Barat,40.93
Sulawesi Barat,39.25
Sumatera Utara,39.01
Sulawesi Tengah,35.44
Lampung,34.31
Aceh,29.03
Sumatera Selatan,28.72
DKI Jakarta,28.33
Nusa Tenggara Timur,24.82
Papua Barat,24.32
Sulawesi Selatan,24.1
Kalimantan Utara,24.01
Sulawesi Tenggara,23.51
Jawa Timur,21.39
Bali,21.06
Jambi,20.17
Jawa Barat,17.94
Maluku,17.87
DI Yogyakarta,14.38
Riau,13.47
Nusa Tenggara Barat,10.67
Jawa Tengah,9.08
Maluku Utara,8.92
Banten,8.06
Papua,5.81
Indonesia (national average),24.75
