Province,"Incidence Rate (per 100,000)"
Bali,273.1
Nusa Tenggara Timur,107.7
DI Yogyakarta,93.2
Nusa Tenggara Barat,92.1
Kepulauan Riau,78.2
Gorontalo,78.0
Kep Bangka Belitung,75.4
Lampung,74.8
Kalimantan Utara,67.0
Bengkulu,63.2
Kalimantan Timur,60.6
Jambi,55.7
Sulawesi Utara,48.2
Jawa Barat,45.3
Sulawesi Barat,44.8
DKI Jakarta,44.6
Riau,41.4
Kalimantan Selatan,41.1
Sulawesi Tengah,38.4
Maluku Utara,33.2
Sulawesi Tenggara,32.8
Sulawesi Selatan,30.4
Sumatera Selatan,27.5
Kalimantan Tengah,24.2
Banten,22.1
Jawa Timur,21.5
Sumatera Utara,21.3
Sumatera Barat,20.3
Papua Barat,16.6
Jawa Tengah,16.3
Kalimantan Barat,15.3
Papua,5.0
Maluku,4.2
Aceh,0.0
Indonesia (national average),40.0
